std,mean,min,max,median,group
57.795197354226964,131.0576629638672,0,-9,-9,Non-COVID
49.50901922864742,128.34674072265625,0,-1,-1,Non-COVID
46.78443990474741,119.15866088867188,4,-54,-54,Non-COVID
46.79802786019195,96.66278076171875,2,-8,-8,Non-COVID
66.25077773469148,142.69517517089844,0,-1,-1,Non-COVID
51.608669027903574,110.97987365722656,2,-31,-31,Non-COVID
52.28935240266774,113.40202331542969,0,-12,-12,Non-COVID
60.49928761164965,174.97718811035156,1,-1,-1,Non-COVID
47.13716383341761,115.99861145019531,10,-1,-1,Non-COVID
40.051799998480796,92.81582641601562,0,-15,-15,Non-COVID
47.85915712043403,137.6305389404297,0,-14,-14,Non-COVID
58.17594950728539,114.1484375,0,-1,-1,Non-COVID
47.511674407492684,123.40980529785156,0,-1,-1,Non-COVID
57.317268692019205,129.5093994140625,0,-1,-1,Non-COVID
44.81743171217429,107.93426513671875,2,-66,-66,Non-COVID
64.6004713380056,109.81326293945312,0,-1,-1,Non-COVID
34.688314482347515,119.36140441894531,3,-62,-62,Non-COVID
44.36322302828963,95.97036743164062,0,-17,-17,Non-COVID
53.91979944417865,150.89111328125,0,-8,-8,Non-COVID
58.619853470045925,138.27267456054688,0,-29,-29,Non-COVID
51.622878356773064,116.96212768554688,1,-1,-1,Non-COVID
54.38355218205231,114.10821533203125,0,-7,-7,Non-COVID
52.64291111362202,101.53829956054688,0,-6,-6,Non-COVID
46.64808076582525,113.7430419921875,0,-1,-1,Non-COVID
50.9800053505852,95.39743041992188,0,-25,-25,Non-COVID
48.297871087662585,110.47581481933594,2,-9,-9,Non-COVID
40.426537158630175,120.98225402832031,0,-65,-65,Non-COVID
63.692903173000765,138.3879852294922,0,-13,-13,Non-COVID
50.69660843767514,99.63603210449219,0,-24,-24,Non-COVID
48.1926928516433,99.87548828125,1,-14,-14,Non-COVID
64.2875893425394,135.5454559326172,0,-5,-5,Non-COVID
59.137248832977114,165.5515594482422,0,-1,-1,Non-COVID
49.57730455986332,148.41429138183594,9,-18,-18,Non-COVID
55.531028372430114,144.2335968017578,0,-35,-35,Non-COVID
56.27076384230631,163.09805297851562,0,-18,-18,Non-COVID
46.834877216596205,144.253662109375,2,-9,-9,Non-COVID
51.12289435902228,122.6976318359375,1,-15,-15,Non-COVID
39.065825129627434,132.0049591064453,0,-59,-59,Non-COVID
55.23911139212461,114.37399291992188,1,-1,-1,Non-COVID
57.61060661873083,144.81063842773438,0,-16,-16,Non-COVID
56.08045200633396,103.25732421875,0,-9,-9,Non-COVID
57.70914241766218,160.47068786621094,0,-10,-10,Non-COVID
36.664150237878154,87.80699157714844,0,-5,-5,Non-COVID
45.997055053374325,122.65719604492188,0,-54,-54,Non-COVID
49.09137357684289,120.23513793945312,0,-6,-6,Non-COVID
57.76689141143886,129.466552734375,0,-6,-6,Non-COVID
49.28025600719618,114.7818603515625,0,-50,-50,Non-COVID
42.48203561052408,91.99263000488281,0,-14,-14,Non-COVID
35.88113553753482,152.76788330078125,3,-43,-43,Non-COVID
39.29906462179448,84.14949035644531,0,-19,-19,Non-COVID
33.90131388684368,122.80331420898438,27,-66,-66,Non-COVID
62.909585480083024,112.12249755859375,0,-34,-34,Non-COVID
48.92655477521458,107.82354736328125,0,-1,-1,Non-COVID
57.98164216616826,66.18406677246094,0,-1,-1,Non-COVID
52.7472566995884,112.32466125488281,2,-1,-1,Non-COVID
47.31444984695848,123.7489013671875,0,-20,-20,Non-COVID
41.08854415958955,141.6529998779297,2,-1,-1,Non-COVID
35.67148070558961,146.02963256835938,2,-50,-50,Non-COVID
43.816011685646174,121.71356201171875,0,-5,-5,Non-COVID
28.92878824325476,122.9490966796875,28,-74,-74,Non-COVID
50.015299099079584,124.85148620605469,0,-2,-2,Non-COVID
44.277077375257726,95.73834228515625,0,-13,-13,Non-COVID
39.977385476389,80.25643920898438,0,-14,-14,Non-COVID
47.19885778211894,108.69453430175781,1,-1,-1,Non-COVID
54.69312383249819,105.85984802246094,0,-33,-33,Non-COVID
49.60465943158751,117.70120239257812,0,-2,-2,Non-COVID
37.394382274948065,77.99833679199219,0,-28,-28,Non-COVID
45.96001533505801,114.66026306152344,0,-1,-1,Non-COVID
45.31826023368931,86.12081909179688,0,-13,-13,Non-COVID
71.37729803250525,114.02342224121094,0,-32,-32,Non-COVID
50.27627036728109,98.14691162109375,0,-28,-28,Non-COVID
43.29669916339191,87.95480346679688,0,-5,-5,Non-COVID
33.09019855079711,108.52821350097656,0,-62,-62,Non-COVID
59.011274734386326,131.4647674560547,0,-1,-1,Non-COVID
48.83675131526052,115.03977966308594,0,-61,-61,Non-COVID
52.59260156976986,99.44926452636719,0,-1,-1,Non-COVID
70.45224309711091,101.6839599609375,0,-21,-21,Non-COVID
43.47021954860606,117.36689758300781,0,-3,-3,Non-COVID
57.742553981690946,105.93241882324219,0,-48,-48,Non-COVID
48.383620033482366,84.38578796386719,0,-61,-61,Non-COVID
56.134488487041914,71.88966369628906,0,-60,-60,Non-COVID
45.09421406663083,104.87138366699219,2,-1,-1,Non-COVID
53.90138441892738,143.5367889404297,4,-22,-22,Non-COVID
54.454297870754026,139.7900848388672,1,-12,-12,Non-COVID
45.230960923480175,141.60134887695312,2,-15,-15,Non-COVID
73.76471100239573,106.72142028808594,0,-27,-27,Non-COVID
56.08145824696827,127.99609375,0,-6,-6,Non-COVID
44.14679294429061,151.33270263671875,14,-17,-17,Non-COVID
43.706814411930196,159.9720458984375,28,-25,-25,Non-COVID
56.184663714845314,114.05435180664062,0,-1,-1,Non-COVID
64.3552714050969,120.61318969726562,0,-1,-1,Non-COVID
52.64779420380674,129.5310516357422,0,-14,-14,Non-COVID
52.954070623640725,106.89741516113281,0,-1,-1,Non-COVID
43.94516356844567,120.82040405273438,1,-57,-57,Non-COVID
75.5466835198776,105.29359436035156,0,-1,-1,Non-COVID
46.75778762124371,118.05218505859375,1,-14,-14,Non-COVID
46.79231851871589,142.55911254882812,0,-25,-25,Non-COVID
42.737179980710486,102.69088745117188,1,-3,-3,Non-COVID
52.00826732136414,108.77708435058594,0,-1,-1,Non-COVID
37.4410895861256,76.17781066894531,0,-36,-36,Non-COVID
48.417515844484164,124.34291076660156,0,-56,-56,Non-COVID
47.34719620362415,139.8730010986328,0,-27,-27,Non-COVID
56.86378298919381,131.34068298339844,0,-2,-2,Non-COVID
63.126573662848756,123.90702819824219,0,-1,-1,Non-COVID
35.88008307931336,149.2866668701172,6,-30,-30,Non-COVID
54.829884220072216,113.70481872558594,0,-18,-18,Non-COVID
63.76715604081167,109.84687805175781,0,-1,-1,Non-COVID
54.2527609958383,108.6871337890625,0,-21,-21,Non-COVID
64.87087243536193,108.10516357421875,0,-1,-1,Non-COVID
52.91065570761504,157.06373596191406,22,-39,-39,Non-COVID
46.45538837478568,168.1121063232422,2,-32,-32,Non-COVID
45.60421235706182,150.9508819580078,11,-42,-42,Non-COVID
64.40981053669584,111.39093017578125,0,-1,-1,Non-COVID
72.03596528629066,115.81474304199219,0,-2,-2,Non-COVID
57.16089823205485,118.92071533203125,5,-51,-51,Non-COVID
52.26334606647163,133.4377899169922,0,-19,-19,Non-COVID
59.732937303058044,154.8760223388672,1,-6,-6,Non-COVID
36.484611511893355,94.9429931640625,3,-3,-3,Non-COVID
49.77574186206762,105.07183837890625,0,-55,-55,Non-COVID
49.626205070591425,148.7511444091797,0,-43,-43,Non-COVID
60.16732780995839,86.8699951171875,0,-1,-1,Non-COVID
62.8488284675126,131.1055908203125,0,-1,-1,Non-COVID
50.127053059896454,118.43544006347656,0,-53,-53,Non-COVID
65.88127082083015,140.19052124023438,0,-7,-7,Non-COVID
67.62019441765113,142.21864318847656,7,-1,-1,Non-COVID
52.501340760262245,125.64382934570312,0,-13,-13,Non-COVID
71.81225314223818,112.68093872070312,0,-1,-1,Non-COVID
50.43935002596161,179.03253173828125,1,-3,-3,Non-COVID
64.45059165888065,118.10720825195312,0,-1,-1,Non-COVID
51.44692914510127,109.78939819335938,0,-38,-38,Non-COVID
26.98835122308354,165.21153259277344,50,-35,-35,Non-COVID
47.0429375346541,101.32841491699219,0,-29,-29,Non-COVID
42.03017318012715,145.758056640625,17,-1,-1,Non-COVID
34.09260510257236,143.96502685546875,0,-52,-52,Non-COVID
48.87964842937686,101.26329040527344,1,-23,-23,Non-COVID
53.45415215451786,114.158935546875,0,-1,-1,Non-COVID
36.82629268422084,113.05560302734375,0,-1,-1,Non-COVID
51.83691104281347,141.91419982910156,0,-1,-1,Non-COVID
46.770321219720735,129.52003479003906,2,-20,-20,Non-COVID
69.49568976714926,142.0915985107422,0,-10,-10,Non-COVID
45.76316326098281,128.62721252441406,4,-40,-40,Non-COVID
50.68498678887595,106.95269775390625,7,-6,-6,Non-COVID
45.88523862041294,126.23892211914062,0,-25,-25,Non-COVID
45.97981970032994,124.3199462890625,0,-15,-15,Non-COVID
47.49681041266252,100.64189147949219,1,-26,-26,Non-COVID
53.22763797427606,116.08750915527344,7,-1,-1,Non-COVID
47.730732287089836,129.83892822265625,0,-1,-1,Non-COVID
34.61585425215579,143.59498596191406,1,-57,-57,Non-COVID
62.76495258739376,109.164794921875,0,-1,-1,Non-COVID
58.88924345550704,131.47471618652344,0,-1,-1,Non-COVID
59.85251697858457,125.51998901367188,0,-1,-1,Non-COVID
56.44434399336329,122.95405578613281,0,-1,-1,Non-COVID
60.13775752431951,119.63739013671875,0,-1,-1,Non-COVID
54.36840455886746,115.14128112792969,0,-52,-52,Non-COVID
51.17381123901796,149.37542724609375,0,-26,-26,Non-COVID
49.37502463714937,98.88461303710938,0,-38,-38,Non-COVID
44.090854014560456,108.25422668457031,0,-1,-1,Non-COVID
49.741008144059165,153.6362762451172,4,-51,-51,Non-COVID
38.31130148212279,135.42645263671875,2,-7,-7,Non-COVID
63.0896544031747,123.55908203125,0,-1,-1,Non-COVID
52.63993679181589,106.6348876953125,0,-1,-1,Non-COVID
48.801173640403185,116.157470703125,0,-8,-8,Non-COVID
64.44606963177192,142.53460693359375,0,-1,-1,Non-COVID
43.577337552437164,130.90220642089844,0,-4,-4,Non-COVID
54.35182439066122,132.5021209716797,0,-23,-23,Non-COVID
44.27736827601621,97.90058898925781,0,-8,-8,Non-COVID
49.290988808440964,97.31883239746094,0,-21,-21,Non-COVID
56.40823471884165,137.78646850585938,0,-38,-38,Non-COVID
54.998984392363916,122.9473876953125,3,-13,-13,Non-COVID
67.69615265992962,128.29229736328125,0,-23,-23,Non-COVID
64.92434588087082,115.39710998535156,0,-2,-2,Non-COVID
57.13722895317166,111.20809936523438,0,-1,-1,Non-COVID
44.315568230442,124.52018737792969,0,-37,-37,Non-COVID
57.15765375972623,147.7111358642578,0,-6,-6,Non-COVID
58.07963415966296,128.38052368164062,0,-1,-1,Non-COVID
41.844775042574454,81.5374755859375,0,-6,-6,Non-COVID
50.154152409842915,111.51631164550781,0,-83,-83,Non-COVID
34.5316481113005,124.91299438476562,0,-64,-64,Non-COVID
72.65041561745545,143.87779235839844,0,-1,-1,Non-COVID
51.22494584605319,108.67886352539062,0,-1,-1,Non-COVID
78.03595111028014,128.1699981689453,0,-23,-23,Non-COVID
73.14031536050956,109.34559631347656,0,-8,-8,Non-COVID
47.32711891518466,108.76936340332031,0,-14,-14,Non-COVID
60.370662968897605,131.56556701660156,0,-1,-1,Non-COVID
63.84430979951914,146.74722290039062,0,-1,-1,Non-COVID
50.81710894879762,124.885009765625,0,-1,-1,Non-COVID
53.11324130434123,122.78187561035156,0,-1,-1,Non-COVID
61.50658721125382,125.56967163085938,0,-1,-1,Non-COVID
41.28484948970982,114.84532165527344,0,-6,-6,Non-COVID
62.00925568838164,159.52932739257812,0,-5,-5,Non-COVID
60.16557193373126,141.25892639160156,0,-1,-1,Non-COVID
46.068028813039504,104.43951416015625,0,-22,-22,Non-COVID
60.84503157281832,97.9810791015625,0,-1,-1,Non-COVID
70.56868351846481,133.62399291992188,0,-1,-1,Non-COVID
72.31915139259655,113.65791320800781,0,-1,-1,Non-COVID
70.12986208544216,104.4251708984375,0,-1,-1,Non-COVID
51.47833884088859,126.37905883789062,0,-13,-13,Non-COVID
72.68673186811017,146.89663696289062,0,-1,-1,Non-COVID
57.66417959415463,130.65814208984375,0,-6,-6,Non-COVID
74.29098090835687,144.00856018066406,0,-1,-1,Non-COVID
71.89111116015647,138.01406860351562,0,-1,-1,Non-COVID
46.38110441413261,139.7345733642578,1,-1,-1,Non-COVID
56.15016998239629,144.06727600097656,0,-1,-1,Non-COVID
45.40120591485786,113.85882568359375,0,-14,-14,Non-COVID
44.32095452207666,102.40333557128906,0,-21,-21,Non-COVID
69.85271685899511,148.0672149658203,0,-1,-1,Non-COVID
58.411764709055475,111.19345092773438,0,-1,-1,Non-COVID
54.72768897640523,107.416259765625,0,-1,-1,Non-COVID
48.32085589956536,127.52223205566406,0,-17,-17,Non-COVID
76.69418728720916,121.45491027832031,0,-1,-1,Non-COVID
61.82222425035033,117.45263671875,0,-1,-1,Non-COVID
73.451092038105,122.24282836914062,0,-1,-1,Non-COVID
47.62181504540118,132.3218994140625,0,-31,-31,Non-COVID
54.83228232382152,143.5472869873047,1,-1,-1,Non-COVID
56.20821303060355,114.1427001953125,0,-25,-25,Non-COVID
40.16462374620198,185.10848999023438,0,-6,-6,Non-COVID
52.38329525606843,111.19273376464844,0,-29,-29,Non-COVID
46.13588115808305,113.98207092285156,1,-15,-15,Non-COVID
45.619287352456745,115.17326354980469,0,-7,-7,Non-COVID
68.81054348461207,111.00982666015625,0,-34,-34,Non-COVID
53.57867170170073,114.28730773925781,0,-1,-1,Non-COVID
71.15721308366885,97.75886535644531,0,-45,-45,Non-COVID
49.69299254379292,117.6474609375,0,-16,-16,Non-COVID
54.630615094769816,108.18095397949219,0,-1,-1,Non-COVID
51.010017832999225,101.37837219238281,2,-1,-1,Non-COVID
66.67720644152905,118.18687438964844,0,-6,-6,Non-COVID
70.20439328492117,116.65632629394531,0,-1,-1,Non-COVID
47.483951465213686,125.76139831542969,0,-2,-2,Non-COVID
48.15066607029038,132.69976806640625,9,-29,-29,Non-COVID
51.50584910778191,67.78138732910156,0,-1,-1,Non-COVID
62.47558887975104,122.48052978515625,0,-1,-1,Non-COVID
72.04464640691262,124.76873779296875,0,-1,-1,Non-COVID
56.95906164465505,134.1875762939453,0,-1,-1,Non-COVID
48.35229635050608,111.54989624023438,0,-1,-1,Non-COVID
49.99424717291718,155.12594604492188,0,-1,-1,Non-COVID
46.38148362687241,125.25936889648438,0,-22,-22,Non-COVID
71.74644441279943,122.65573120117188,0,-5,-5,Non-COVID
56.726256431112915,157.57241821289062,2,-11,-11,Non-COVID
42.95344123483464,121.26004028320312,0,-58,-58,Non-COVID
75.39415889798295,114.97361755371094,0,-1,-1,Non-COVID
47.677208412702136,149.9392852783203,0,-1,-1,Non-COVID
47.767609708651726,100.50027465820312,2,-4,-4,Non-COVID
72.3640119190818,123.58688354492188,0,-1,-1,Non-COVID
59.76005927393148,99.4949951171875,0,-9,-9,Non-COVID
50.57009195543648,133.46096801757812,0,-27,-27,Non-COVID
52.94457916491107,144.2963104248047,0,-1,-1,Non-COVID
41.08430865431601,128.81292724609375,5,-60,-60,Non-COVID
74.56349977187512,135.64315795898438,0,-1,-1,Non-COVID
77.59215335738462,144.93287658691406,0,-6,-6,Non-COVID
55.69712384394264,137.27320861816406,0,-13,-13,Non-COVID
67.49342606356186,135.5764617919922,0,-1,-1,Non-COVID
46.163323241505,148.99888610839844,24,-15,-15,Non-COVID
68.024523144738,106.88337707519531,0,-1,-1,Non-COVID
45.3693309035448,125.70440673828125,0,-36,-36,Non-COVID
58.24334978936155,139.15805053710938,0,-1,-1,Non-COVID
62.53533871254728,111.68067932128906,0,-1,-1,Non-COVID
66.77474155168692,100.81596374511719,0,-1,-1,Non-COVID
54.470715374382536,105.18832397460938,0,-34,-34,Non-COVID
67.59643149628293,125.90835571289062,0,-39,-39,Non-COVID
59.03270815604724,156.41754150390625,0,-3,-3,Non-COVID
49.96418122937033,103.63211059570312,0,-41,-41,Non-COVID
40.57727913829317,123.81504821777344,0,-62,-62,Non-COVID
34.90441815525604,128.76507568359375,1,-52,-52,Non-COVID
55.1849656904051,111.02778625488281,0,-4,-4,Non-COVID
49.60303010930875,135.668212890625,0,-30,-30,Non-COVID
37.511063598323695,155.08985900878906,40,-36,-36,Non-COVID
51.2931792269074,144.3946075439453,0,-1,-1,Non-COVID
67.23720558658948,123.70841979980469,0,-1,-1,Non-COVID
69.0108114626644,141.1842498779297,0,-1,-1,Non-COVID
58.32928124155208,108.73690795898438,0,-1,-1,Non-COVID
47.459193033722485,145.44288635253906,10,-1,-1,Non-COVID
46.50127128602198,141.0083770751953,21,-44,-44,Non-COVID
50.86156707875919,126.92347717285156,2,-34,-34,Non-COVID
69.9262263393093,123.77680969238281,0,-32,-32,Non-COVID
50.07233458857507,148.14358520507812,11,-18,-18,Non-COVID
40.7877847265481,106.52903747558594,7,-72,-72,Non-COVID
71.85407315148629,132.5067138671875,0,-1,-1,Non-COVID
53.6197167146207,140.07723999023438,16,-30,-30,Non-COVID
63.13226921101717,106.42929077148438,0,-1,-1,Non-COVID
72.64453235223401,136.80714416503906,0,-1,-1,Non-COVID
63.0753860328689,110.57701110839844,0,-47,-47,Non-COVID
50.04055070875134,158.4656982421875,21,-27,-27,Non-COVID
46.79452584090838,101.642822265625,1,-10,-10,Non-COVID
46.7335322548538,143.54592895507812,7,-8,-8,Non-COVID
31.894175015189916,159.16683959960938,8,-43,-43,Non-COVID
65.6878795157983,121.4649658203125,0,-4,-4,Non-COVID
73.16387289273788,122.01054382324219,0,-2,-2,Non-COVID
61.260186258723934,122.586669921875,0,-1,-1,Non-COVID
56.21620229248193,127.54669189453125,0,-43,-43,Non-COVID
44.140842815192485,159.0867156982422,20,-11,-11,Non-COVID
32.6931654471825,153.13018798828125,12,-39,-39,Non-COVID
58.991255029072,84.33473205566406,0,-10,-10,Non-COVID
49.04989202575566,103.63996887207031,3,-14,-14,Non-COVID
43.54578934404509,137.89764404296875,0,-55,-55,Non-COVID
39.471431718819915,101.51371765136719,0,-21,-21,Non-COVID
85.47458332107345,130.32032775878906,0,-1,-1,Non-COVID
50.575975808231114,102.15316772460938,0,-36,-36,Non-COVID
63.657351987525644,95.81809997558594,0,-21,-21,Non-COVID
57.18887715627371,147.1574249267578,0,-1,-1,Non-COVID
43.757176086885075,127.35467529296875,0,-28,-28,Non-COVID
65.43439819406206,138.5164031982422,0,-1,-1,Non-COVID
51.226892189828014,134.20162963867188,0,-1,-1,Non-COVID
65.98561712968456,131.0513916015625,0,-1,-1,Non-COVID
54.248141184260454,120.9930419921875,0,-1,-1,Non-COVID
43.91066545608426,145.5081024169922,0,-58,-58,Non-COVID
41.31188102939365,167.07188415527344,0,-12,-12,Non-COVID
47.542962864776776,135.60723876953125,0,-3,-3,Non-COVID
44.884528108836165,124.47621154785156,1,-20,-20,Non-COVID
59.305219882685584,125.9132080078125,0,-1,-1,Non-COVID
55.41961661395055,103.856201171875,0,-1,-1,Non-COVID
52.77473557510476,113.81076049804688,0,-38,-38,Non-COVID
59.98543540844513,149.1276397705078,0,-41,-41,Non-COVID
46.30501211916284,151.82083129882812,20,-21,-21,Non-COVID
72.0992286682137,107.99720764160156,0,-6,-6,Non-COVID
54.58526233029746,130.46121215820312,0,-44,-44,Non-COVID
57.87006554868985,120.15615844726562,0,-25,-25,Non-COVID
46.047198034885675,144.67010498046875,18,-42,-42,Non-COVID
68.62521663446982,145.72396850585938,0,-1,-1,Non-COVID
45.56447228444902,92.11537170410156,0,-12,-12,Non-COVID
56.4138122539044,92.4481201171875,0,-29,-29,Non-COVID
39.103727777257205,157.92144775390625,14,-9,-9,Non-COVID
35.93620893957819,70.54441833496094,0,-94,-94,Non-COVID
49.533691607934564,111.04740905761719,1,-16,-16,Non-COVID
46.121149227357016,114.60836791992188,2,-4,-4,Non-COVID
70.24862219404298,123.43576049804688,0,-1,-1,Non-COVID
57.883819160646595,105.36842346191406,0,-1,-1,Non-COVID
43.042124554237986,139.3573455810547,0,-55,-55,Non-COVID
57.59075418624863,129.6405487060547,0,-46,-46,Non-COVID
37.840822468757835,169.54110717773438,0,-28,-28,Non-COVID
49.67028268290072,113.73263549804688,0,-61,-61,Non-COVID
70.61740314785779,129.02066040039062,0,-1,-1,Non-COVID
40.425448692646086,108.76242065429688,1,-76,-76,Non-COVID
63.418349305543295,162.3385772705078,0,-1,-1,Non-COVID
69.80266588799874,105.42835998535156,0,-14,-14,Non-COVID
43.97727641752342,133.17115783691406,0,-10,-10,Non-COVID
46.54600381143717,149.98890686035156,0,-1,-1,Non-COVID
49.09641965760002,147.5879364013672,14,-19,-19,Non-COVID
68.50789551224727,121.3533935546875,0,-26,-26,Non-COVID
59.44360639277348,113.6512451171875,0,-1,-1,Non-COVID
41.96715250590029,111.97671508789062,1,-1,-1,Non-COVID
57.012346961174394,137.39456176757812,0,-1,-1,Non-COVID
39.77070771946026,94.20924377441406,0,-5,-5,Non-COVID
51.85977656861932,132.2882537841797,0,-1,-1,Non-COVID
69.45104229746227,118.89596557617188,0,-1,-1,Non-COVID
44.46553091629555,161.62730407714844,20,-1,-1,Non-COVID
67.2313165143486,126.46963500976562,0,-1,-1,Non-COVID
73.42838765344561,133.7892303466797,0,-5,-5,Non-COVID
55.34390518946964,125.68734741210938,0,-26,-26,Non-COVID
52.988708169630776,114.31753540039062,0,-9,-9,Non-COVID
63.34152392687184,98.96952819824219,0,-1,-1,Non-COVID
52.25780806776091,133.5718536376953,20,-19,-19,Non-COVID
46.746565058778714,118.2288818359375,2,-23,-23,Non-COVID
39.38589455296364,117.38787841796875,18,-52,-52,Non-COVID
50.34328056176436,126.60032653808594,0,-19,-19,Non-COVID
63.624014326836395,93.16900634765625,0,-1,-1,Non-COVID
46.07453339183214,107.85374450683594,0,-3,-3,Non-COVID
66.00382389912266,135.46888732910156,0,-33,-33,Non-COVID
50.831347797485456,111.62144470214844,0,-14,-14,Non-COVID
50.529158383149664,169.0977325439453,0,-10,-10,Non-COVID
44.87935058378935,117.71893310546875,0,-2,-2,Non-COVID
56.74583057051311,143.5061492919922,0,-16,-16,Non-COVID
59.079257221508065,133.64205932617188,0,-1,-1,Non-COVID
